X,Y,OBJECTID,key_crash,DateOfCrash,LocalUse,LocationRelationToRoad,LocationInNearIndicator,LocationCity,LocationCounty,LocationRoadNameOn,LocationFeetFromRoad,LocationDirectionFromRoad,LocationAtFromIndicator,LocationRoadNameAt,LocationDirectionToRoad,LocationRoadNameTo,FirstHarmfulEvent,MostHarmfulEvent,RoadClassification,RoadFeature,TrafficControlType,WeatherCondition1,WeatherCondition2,WeatherContributedToCrash,UpdateDate,Crash_Date_Day,Crash_Date_DOW,Crash_Date_DOW_Num,Crash_Date_Hour,Crash_Date_Month,Crash_Date_Month_Num,Crash_Date_Year,drivers,passengers,pedestrians,pedalcyclists,other_person_type,unknown_person_type,killed,type_a_injury,type_b_injury,type_c_injury,no_injury,injury_unknown,LocationLatitude,LocationLongitude
-78.6502999996568,35.7356000000027,2221,124140,2015/02/08 03:31:00+00,P15007187,On Roadway (Surface) / Off Roadway,In,RALEIGH,Wake,CHAPANOKE RD,0,,At,WILMINGTON ST,S,TRYON RD,Pedalcyclist,Pedalcyclist,Local Street,No Special Feature,Stop and go signal,Clear,,No,2015/02/13 02:40:00.046+00,7,Saturday,7,17,February,2,2015,1,0,0,1,0,0,0,0,0,1,1,0,35.7356,-78.6503
-78.6249999998102,35.869999999999,4235,126175,2015/03/11 03:44:00+00,P15012910,Roadside,In,RALEIGH,Wake,SANDY FORKS RD,450,E,From,SUBURBAN DR,E,FALLS  OF NEUSE RD,Ran off road - left,Pedalcyclist,Local Street,No Special Feature,No control present,Clear,,No,2015/03/19 23:20:00.056+00,10,Tuesday,3,19,March,3,2015,1,0,0,1,0,0,0,0,0,1,1,0,35.87,-78.625
-78.5876000003102,35.787800000238,4721,126667,2015/03/19 20:55:00+00,P15014666,On Roadway (Surface) / Off Roadway,In,RALEIGH,Wake,NEW BERN AVE,100,E,From,SUNNY BROOK RD,E,MILBURNIE RD,"Rear end, slow or stop","Rear end, slow or stop",Local Street,No Special Feature,Stop and go signal,Clear,,No,2015/05/20 18:00:00.160+00,19,Thursday,5,12,March,3,2015,1,0,0,1,0,0,0,0,0,1,1,0,35.7878,-78.5876
-78.6239000001683,35.8197000001147,5187,127141,2015/03/24 02:17:00+00,P15015431,On Roadway (Surface) / Off Roadway,In,RALEIGH,Wake,WAKE FOREST RD,0,,At,SIX FORKS RD,N,WAKE TOWNE DR,Pedalcyclist,Angle,Local Street,No Special Feature,Stop and go signal,Clear,,No,2015/04/01 23:20:00.180+00,23,Monday,2,18,March,3,2015,1,0,0,1,0,0,0,0,1,0,1,0,35.8197,-78.6239
-78.6088999998261,35.7797999999951,5241,127195,2015/03/28 18:09:00+00,P15016314,On Roadway (Surface) / Off Roadway,In,RALEIGH,Wake,KING CHARLES RD,0,,At,NEW BERN AVE,S,KENNEDY ST,Angle,Angle,State Secondary Route,No Special Feature,Stop and go signal,Clear,,No,2015/03/30 22:40:00.642+00,28,Saturday,7,10,March,3,2015,1,0,0,1,0,0,0,0,0,1,1,0,35.7798,-78.6089
-78.6563999997122,35.7797999999951,5251,127205,2015/03/29 02:31:00+00,P15016383,On Roadway (Surface) / Off Roadway,In,RALEIGH,Wake,W. MORGAN ST.,40,E,From,TRYON HILL DR,E,MAYO STREET,"Rear end, slow or stop","Rear end, slow or stop",Local Street,No Special Feature,No control present,Clear,,No,2015/04/03 00:40:00.289+00,28,Saturday,7,18,March,3,2015,1,0,0,1,0,0,0,0,0,0,1,0,35.7798,-78.6564
-78.6416999998439,35.7805000003385,5621,127580,2015/04/03 22:03:00+00,P15017521,On Roadway (Surface) / Off Roadway,In,RALEIGH,Wake,HILLSBOROUGH ST,0,,At,S MCDOWELL ST,E,S SALISBURY ST,Angle,Angle,Local Street,Four-way intersection,Stop and go signal,Clear,,No,2015/04/09 01:20:00.667+00,3,Friday,6,14,April,4,2015,1,0,0,1,0,0,0,0,1,0,1,0,35.7805,-78.6417
-78.5459999995646,35.7920000001382,5714,127675,2015/04/05 20:40:00+00,P15017898,Shoulder,In,RALEIGH,Wake,NEW BERN AVE,,W,From,OLD MILBURNIE RD,W,ROGERS LN,Ran off road - right,Ran off road - right,Local Street,No Special Feature,No control present,Clear,,No,2015/04/14 20:40:00+00,5,Sunday,1,12,April,4,2015,1,1,0,1,0,0,0,0,1,0,2,0,35.792,-78.546
-78.6960000002923,35.8162000003023,6080,128043,2015/04/11 02:18:00+00,P15018963,On Roadway (Surface) / Off Roadway,In,RALEIGH,Wake,WESVILL CT,100,N,From,LAKE BOONE TRAIL,N,MALIBU DR,Moveable object*,Moveable object*,Local Street,No Special Feature,No control present,Clear,,No,2015/04/22 17:40:00.392+00,10,Friday,6,18,April,4,2015,1,0,0,1,0,0,0,0,0,1,1,0,35.8162,-78.696
-78.6744000003025,35.7888000002212,6157,128121,2015/04/12 02:16:00+00,P15019174,On Roadway (Surface) / Off Roadway,In,RALEIGH,Wake,HILLSBOROUGH ST,0,,At,DAN ALLEN DR,W,BAGWELL AVE,"Left turn, same roadway","Left turn, same roadway",Local Street,T-intersection,Stop and go signal,Clear,,No,2015/04/21 19:20:00.036+00,11,Saturday,7,18,April,4,2015,1,1,0,1,0,0,0,0,1,0,2,0,35.7888,-78.6744
